Argentina,45376763,2780400,América
Brasil,203062512,8515767,América
Canadá,38633870,9984670,América
China,1411750000,9596961,Asia
Egipto,111859000,1002450,África
España,48512600,505990,Europa
Estados Unidos,339996563,9833520,América
Francia,68428000,551695,Europa
India,1407563842,3287263,Asia
Italia,58870762,301340,Europa
Japón,123294513,377975,Asia
México,129875529,1964375,América
Nigeria,223804632,923768,África
Reino Unido,67327904,243610,Europa
Rusia,144444359,17098242,Europa/Asia
Sudáfrica,60922174,1219090,África
Alemania,83294633,357022,Europa
Australia,26990176,7692024,Oceanía
Colombia,51874024,1141748,América
Indonesia,277534122,1904569,Asia
