C�digo;Denominaci�n;Rubro;Marca;Precio Compra
1;ACEITE DE COCO AEROSOL CHIA GRAAL;ACEITES COMESTIBLE;CHIA GRAAL;12465
10;PIMIENTA NEGRA GRANO SIN TACC-DICOMERE;SIN TACC;DICOMERE;1835
100;PAN DULCE INTEGRAL - HERBOTECA;PANIFICADOS;HERBOTECA;5294
1000;ADAPTOGENO ASHWAGANDHA X 60CC - SUPPLY;LABORATORIO;SUPPLY;24292
1001;YOGURT ANANA X 1 L - YOGURLAC;FRESCOS Y CONGELADOS;YOGURLAC;5239
1002;PEPAS X 250GR - LA FRANCIA;PANIFICADOS;LA FRANCIA;4100
1003;CURCUMA + JENGIBRE CON PIMIENTA NEGRA X 30 CAPS - VITAMIN WAY;LABORATORIO;VITAMIN WAY;12418
1004;CARAMELOS SIN AZUCAR MENTA - ICY;SIN TACC;ICY;2460
1005;HIERBAS GRANEL BETONICA;HIERBAS MEDICINALES;GRANEL;45714
1006;EMPANADAS CARNE X 3 - PANYUCA;SIN TACC;PANYUCA;8821
1007;AVENA INSTANTANEA X 350GR -DICOMERE;SIN TACC;DICOMERE;4362
1008;REPELENTE NATURAL X 150ML -;COSMETICA;SRI SRI;9050
1009;YOGURT FRUTILLA X 1 L - YOGURLAC;FRESCOS Y CONGELADOS;YOGURLAC;5239
101;PANCAKE PROTEICO VEGANO X 450GR - GRANGER;VEGANOS;GRANGER;17639
1010;HARINA DE ALMENDRA CON PIEL - GRANEL;HARINAS;GRANEL;41385
1011;MAIZ CROCANTE - GRANEL;GRANOS Y LEGUMBRES;GRANEL;26892
1012;MIX 2 SALADO - GRANEL;FRUTOS SECOS;GRANEL;18436
1013;MIX 3 - GRANEL;FRUTOS SECOS;GRANEL;21791
1014;LECHE DE COCO SIN CASEINA - GRANEL;LECHES VEGETALES;GRANEL;70625
1015;GRANOLA SIN TACC X 250GR - INTEGRA ALMENDRA SEMILLAS ARANDANOS;SIN TACC;INTEGRA;12231
1016;GRAVIOLA POLVO SOBRE - ALLIN QANAY;LABORATORIO;ALLIN QANAY;3440
1017;EUCALIPTUS - HERBOTECA;HIERBAS MEDICINALES;HERBOTECA;3348
1018;ALFAJOR CHOCOLATE SIN TACC - ANGIOLA;VEGANOS;ANGIOLA;1851
1019;PRE MEZCLA BIZCOCHUELO QUINOA Y ALGARROBA -KIWICHA;VEGANOS;KIWICHA;5766
102;BOLSA DE TELA HERBOTECA;VARIOS;HERBOTECA;1238
1020;MILANESA DE SOJA RELLENA QUESO AZUL - SOL DEL ESTE;FRESCOS Y CONGELADOS;SOL DEL ESTE;4928
1021;LECHE DE ALMENDRAS SIN AZUCAR x 1L - SILK;LECHES VEGETALES;silk;6389
1022;SANDWICH MIGA PANYUCA;SIN TACC;PANYUCA;4869
1023;ALOE VERA GELLY;COSMETICA;GELLY;7011
1024;STARCUTS RIPPED FORMULA X 120;SUPLEMENTOS DEPORTIVOS;STAR NUTRITION;34692
1025;HIERBAS GRANEL PALO PICHI;HIERBAS MEDICINALES;GRANEL;28836
1026;ARROZ JAZM�N X 1KG;ARROCES;SAN GIORGIO;17365
1027;MILANESAS DE POLLO X 3U - PANYUCA;SIN TACC;PANYUCA;26458
1028;TAPIOCA X 500GR;SIN TACC;PDK;7342
103;CALDO EL NATURALISTA CON SAL - EL NATURALISTA;CALDOS Y SOPAS;EL NATURALISTA;3586
1030;CHOCOFORTYS - GRANIX;CEREALES;GRANIX;20418
1031;ESENCIA DE VAINILLA X 30CC;REPOSTER�A;INDIAS;1284
1032;PAPEL PLANTABLE PACK DIENTE DE LEON - ANTOFILA;VARIOS;ANTOFILA;8603
1033;PAPEL PLANTABLE PACK FLOR DE TREBOL - ANTOFILA;VARIOS;ANTOFILA;9177
1034;PAPEL PLANTABLE PACK SALVIA - ANTOFILA;VARIOS;ANTOFILA;11089
1035;PAPEL PLANTABLE PACK LAVANDA - ANTOFILA;VARIOS;ANTOFILA;13001
1036;PAPEL PLANTABLE PACK CARDO - ANTOFILA;VARIOS;ANTOFILA;16060
1037;PAPEL PLANTABLE MIX ABEJA - ANTOFILA;VARIOS;ANTOFILA;14530
1038;PAPEL PLANTABLE MIX ABEJORRO - ANTOFILA;VARIOS;ANTOFILA;17206
1039;CHOCOLATE H.MAJO 80% X70 GRS - HEALTHY MAJO (x U.);VEGANOS;HEALTHY MAJO;10082
104;TRATENFU DE ALMENDRAS ORIGINAL;LECHES VEGETALES;TRATENFU;7967
1040;STEVIA EL COMIENZO X 400 U - EL COMIENZO;ORGANICOS;EL COMIENZO;32901
1041;CUPCAKE PROTEICOS X 360GR - GRANGER;REPOSTER�A;GRANGER;16423
1042;COLAGENO + MAGNESIO X 250GR - NATIER;LABORATORIO;NATIER;55541
1043;CHIPS BATATA CON MERKEN PATAGONICO;SIN TACC;NUESTROS SABORES;2687
1044;ESTO NO ES HUEVO - MOLE;VEGANOS;MOLE;10925
1045;HIERBAS GRANEL NOGAL;HIERBAS MEDICINALES;GRANEL;21914
1046;SALSA TABASCO - TABASCO;SALSAS Y ADEREZOS;TABASCO;26204
1047;SALSA DE SOJA LEE KUM KEE PREMIUM - LEE KUM KEE;SALSAS Y ADEREZOS;LEE KUM KEE;20640
